Product_Reviews,Polarity,Type,State,Language
SUPER DUPER THANK YOU SELLER AND SA COURIER..SAFE PO DUMATING ANG PARCELS AND GOOD QUALITY NAMAN PO FOR ITS PRICE. MABAIT DIN SI SELLER VERY ACCOMODATING KASI SINEND NIYA MUNA YUNG PICTURE NG PARCELS BAGO IPASHIP THANK YOU PO ULIT. ORDER NA KAYO JROWP20WJSHWOXU2ANSB2ODBO2JD92BDI2HS9WIS92AOZHENJWNSIE,2,Without Emoji,,Taglish
"maganda yung item no damage, wala yung actual pic kasi kinabit ko agad pagdating hehez excited lang. 🤣 thankyouuu thankyouuuthankyouuuthankyouuuthankyouuuthankyouuuthankyouuuthankyouuuthankyouuuthankyouuuthankyouuuthankyouuuthankyou. losetreak ako kaya sa shopee ang tambay ko  hahahah 🤣",2,With Emoji,,Taglish
Nice ❤️🥰🤩 Thank you shopee nakuha ko siya for 38 pesos lang na dalawa kasama na shipping  doon 🤩 napaka mura niya kac kung bibilhin ko ito sa bayan baka 100 ang isa kaya ang saya ko kac nabili ko siya sa halagang 38 pesos na dalawa naikabit kona ung isa sobrang ganda salamat shopee ❤️🥰❤️😍🤩🥰😇,2,With Emoji,,Taglish
Maganda ang item. Hindi nabasag upon delivery. Medyo eco friendly din si seller kasi karton yung ginamit instead of bubble wrap.  Mas matibay din sya kesa sa bubble wrap. Anyways thanks!!,2,Without Emoji,,Taglish
Basta maganda good quality tas seller HAHAHAHHAHAHAHHAHAHHAHAHHAHAHAHHABABBABAHHAHHABABABBAJAHHAHHAHAHHAHHAHAHAHHAHAH CHEER UP,2,Without Emoji,,Taglish
pasensya na po sa pic nakuha na po ng nag order ai kya hndi na nakunan ng pic..pero ok na ok naman po walang reklamo ang nagorder..,2,Without Emoji,,Taglish
"maganda, mabilis rin naman dumating. kaclose q na si ateng j n t hahahajajjaja buy na kayo, photos and vids not related hehehehehe",2,Without Emoji,,Taglish
"Ang bilis ng shipping, mura na sulit pa chaka secure na secure pati yung product na di talaga masisira,thank you so much seller.",2,Without Emoji,,Taglish
"I got my order in good condition. Thanks,very nice!",2,Without Emoji,,English
"Thanks ...........................................................................
Seller................................................................................",1,Without Emoji,,English
"Isa lang masasabi ko ang ganda nya,iba sya sa mga normal na tempered na madalas kong bilhan,ngayon mas gusto ko na ung ganitong tempered ang ganda,and thanks to seller and rider!! GOD BLESS!!! Next time ulit!!!!and di ko na sya napicturan nakalimutan ko kase HAHAHA😂❤️😊😊❤️❤️",2,With Emoji,,Taglish
Natatagalan talaga ako sa ship out hays 5 days bago ko mareceive pero maganda at mura naman ang item kaya dito ko umoorder kasi nga mura problema lang natatagalan ako bago maeceive sana magkaroon ng jnt courier para mabilis hehehe thank you seller oorder ulit ako kahit matagal dumating.,2,Without Emoji,Double,Taglish
Item is good and mabait ang seller pati c rider ok din.. mag order ulit ako nxt time 5 star 💫 para sa seller rider shopee. Thank you po nang madami,2,With Emoji,,Taglish
Nice! 👍🏻 Nice! 👍🏻 Nice! 👍🏻 Nice! 👍🏻 Nice! 👍🏻 Nice! 👍🏻 Nice! 👍🏻 Nice! 👍🏻 Nice! 👍🏻 Nice! 👍🏻 Nice! 👍🏻 Nice! 👍🏻Nice! 👍🏻 Nice! 👍🏻 Nice! 👍🏻 Nice! 👍🏻 Nice! 👍🏻 Nice! 👍🏻Nice! 👍🏻 Nice! 👍🏻 Nice! 👍🏻 Nice! 👍🏻 Nice! 👍🏻 Nice! 👍🏻Nice! 👍🏻 Nice! 👍🏻 Nice! 👍🏻 Nice!,2,With Emoji,,English
Maganda and secure. Kaso nga lang medyo slant na pero yung tempered lumaban walang sira so kitang kita naman na durable haha try ko kaya hampasin ng martilyo?,2,With Emoji,,Taglish
"GOODDDD QUALITYYYY ☑ AFFORDABLEEEEE 💷 EASYYYYY TO APPLYYYYYY ☑ THANK YOUUU. ❤️❤️ FASTTTTT SHIPPINGGGGGGFF ‼️ WELL PACKAGED DELIVERY. GOOD DELIVERY. 

GOODDDD QUALITYYYY ☑ AFFORDABLEEEEE 💷 EASYYYYY TO APPLYYYYYY ☑ THANK YOUUU. ❤️❤️ FASTTTTT SHIPPINGGGGGGFF ‼️ WILL ORDER AGAINNNNNNN",2,With Emoji,,English
