Product_Name,Product_Tags,Product_Reviews
D'addario EJ10 EJ11 EJ12 EJ13 EJ15 EJ16 EJ17 EJ26 Bronze/Phospher Bronze Acoustic Guitar Strings Daddario Acoustic Strings,,
,"Excellent quality
Very accommodating seller
Well-packaged
Item shipped immediately
Will order again",
,"Excellent quality
Very accommodating seller
Well-packaged
Item shipped immediately
Will order again",
,"Excellent quality
Item shipped immediately
Will order again",
,,******The review has been hidden due to inappropriate content.******
,,Item was in excellent quality and very accomodating seller and the item was also well-packaged and the item was also shipped immediately and definitely will order again
,,
,,"Dumating naden sa wakas!! Good product at super ganda ng string, kaso ngalang sobrang tagal ng shipping, reasonable naman dahil galing overseas pero kaylangan talagamag antay ng matagal. Pero good product parin kaya worth it"
,,Good quality of strings. Fast shipped. Kudos to the courier. Very very good well packaged items. Will order again. Thanksss
,,"Maganda ang quality nitong strings... Nagustuhan ko yung packaging nito, talagang dekalidad at orig dahil naka balot  at naka silyado pa sa plastik at karton.. At fast delivery, ahead sa sched dumating.. Kaya lang walang support na bubble wrap man lang for protection sa handling ng delivery.. Thanks"
,Excellent quality,
,,Ooooooooooooooooooooooooooooooooooooookkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk... Good product....12345
,,Sana ok ;)
,,thanks seller kumpleto lagi yung natatanggap ko sa order ko..affordable at lahat maayos yung items... will order again. 
,,
,,"Definitely not the real deal. Tell tale sign is wrong packaging, and cover design. Not vacuum sealed. Phospor strings is a bit brighter in color unlike this which has light border line gold plated coating. \n\nThe reason why I rated 5 stars is because it serves its purpose and it's dirt cheap."
,,Very very good
,"Excellent quality
Very accommodating seller",
,"Excellent quality
Very accommodating seller",
,"Excellent quality
Very accommodating seller",
,Excellent quality,
,,FAKE STRINGS. DALI MAPUTOL AND TOOK WAY TOO LONG TO DELIVER
,,Sugoiii the item is good thank you seller\u2764\ufe0f
,,Napaka Sulit naman kase gumagana at maganda ang tunong pero para sa mga hindi nakaka alam na made in china po ito guys kase malayo lng sa original d'addario ko pero ok naman good for the price...salamat shopee!!!
,,
,,Medyo matagal lng dumating Pero maganda ang product
,,"Ephesians 2:8-9\n\n For it is by grace you have been saved, through faith\u2014and this is not from yourselves, it is the gift of God\u2014 not by works, so that no one can boast."
,"Excellent quality
Well-packaged",
,"Excellent quality
Very accommodating seller",
,Very accommodating seller,
,"Excellent quality
Well-packaged
Item shipped immediately
Will order again",
,"Excellent quality
Well-packaged
Item shipped immediately",
,,
,,Thanks Seller \U0001f60a
,,Thank you po.
,,Thank you and GOD BLESS. 
,,
,,
,Excellent quality,
,OK quality,
,Excellent quality,
,"Excellent quality
Very accommodating seller
Well-packaged
Item shipped immediately
Will order again",
,,Salamat shopee tsaka sa nag deliver tsaka sobra pa bingay kong pang bayad\U0001f606
,,"These are not originals, obviously. But good shit for replacement strings. Not too tough, though. Be careful when re stringing your guitar or seting up. They break easily if pressure is applied aggressively. Well, looking at the price, these are just enough. \U0001f918\U0001f3fb\U0001f918\U0001f3fb\U0001f918\U0001f3fb\U0001f918\U0001f3fb\U0001f918\U0001f3fbAC\u26a1DC"
,,"Very good items , cheap but quality items"
,,This is my 2nd time to buy here in this store una order ko umabot lang ng 6 days pero ngayon 9 days na di sila consistent in terms of shipping pero good nman item icha chat ka nila if di na available ang item na gusto mo..
,,
,,Ok naman yung mga items at kumpleto ang problema nung dineliver butas yung balot sana next time pakiayos po yung pagbalot hindi rin makapal yung plastic at walang bubble wrap
,"Excellent quality
Very accommodating seller
Well-packaged
Item shipped immediately
Will order again",
,Well-packaged,
,,
,,Item received string not yet tried pro sna mgtgal xa... Salamat seller and courier
,,Salamat maaasahan lagi
,,Okay na okay nice seller
,,Matagal dumating
,,Ok nmn cya khit medyo mtgal safe din ang item.tnx shoppee j&t at sa seller.
,Excellent quality,
,,
,,
,,Mejo natagalan sa deliver pero sakto naman sa time frame na given ni shoppe so di ako na disappoint plus maganda yung quality ng item
,,Ganda
,,Super ga da ng item order ako nxtym
,,
,"Excellent quality
Very accommodating seller
Well-packaged
Item shipped immediately
Will order again",
,"Excellent quality
Very accommodating seller",
,"Excellent quality
Very accommodating seller
Well-packaged
Will order again",
,,
,,
,,
,,
,,
,,
,Excellent quality,
,,
,,
,,
,,
,,
,,
,"Excellent quality
Very accommodating seller
Well-packaged
Item shipped immediately",
,Excellent quality,
,"Excellent quality
Very accommodating seller
Well-packaged
Item shipped immediately
Will order again",
,,
,,
,,
,,
,,
,,
,Excellent quality,
,"Excellent quality
Very accommodating seller
Well-packaged
Item shipped immediately
Will order again",
,"Excellent quality
Very accommodating seller
Well-packaged
Item shipped immediately
Will order again",
,"Excellent quality
Very accommodating seller
Well-packaged
Item shipped immediately
Will order again",
,,
,,
,,
,,
,,
,,
,Very accommodating seller,
,,
,,
,,
,,
,,
,,
,Very accommodating seller,
,,
,,
,,
,,
,,
,,
,Well-packaged,
,Excellent quality,
,,
,,
,,
,,
,,
,,
,"Good quality
Well-packaged",
,,
,,
,,
,,
,,
,,
,Excellent quality,
,"Excellent quality
Very accommodating seller
Well-packaged
Item shipped immediately",
,"Excellent quality
Very accommodating seller
Well-packaged
Item shipped immediately
Will order again",
,,
,,
,,
,,
,,
,,
,"Excellent quality
Well-packaged",
,Excellent quality,
,,
,,
,,
,,
,,
,,
,Excellent quality,
,,
,,
,,
